"outcome","topic_words","Estimate","Std..Error","t.value","Pr...t.."
"used.treatment","voices, hearing, people, start, head",-0.191820174999284,0.0413322327337008,-4.64093426152806,3.68350980886831e-06
"used.treatment","stuff, house, started, guy, guys",0.664813102874449,0.0406348626277607,16.360658308717,1.05214060919863e-56
"used.treatment","voices, hear, hearing, voice, loud",0.926039824229501,0.0264372507210727,35.0278413591384,7.2139651710376e-212
"used.treatment","god, church, devil, telling, life",0.968075270191931,0.0432065629776075,22.4057458746175,8.00511485090906e-100
"used.treatment","morning, night, day, sleep, pretty",0.993672440645942,0.0372294503014214,26.6904945574231,2.71555432851274e-135
"used.treatment","people, feel, talk, fucking, control",1.06791594703828,0.0362963975117099,29.422092004964,1.73252625586192e-159
"used.treatment","apartment, taking, meds, basically, safe",1.08200866878134,0.0444261630876113,24.3552130902582,1.54710065094858e-115
"used.treatment","mental, people, illness, life, school",1.11388424614391,0.0413604277534372,26.9311587584183,2.21883220322336e-137
