"outcome","topic_words","Estimate","Std..Error","t.value","Pr...t.."
"hpsvq.total.score","voices, hear, hearing, talking, bye",15.6741616259232,0.57972447182812,27.0372606084678,2.6474747635915e-138
"hpsvq.total.score","people, talking, feel, fucking, control",19.6698192976983,0.681413260548443,28.86621149971,1.76405436955651e-154
"hpsvq.total.score","morning, night, day, sleep, medication",23.1360692791848,0.647972785592224,35.7053101513195,2.21069959350012e-218
"hpsvq.total.score","voices, hear, voice, hearing, head",23.3093550948792,0.522834982882355,44.5826233095121,1.3057906010849e-305
"hpsvq.total.score","apartment, talking, money, food, basically",29.1220571855255,0.817474403543127,35.6244269659131,1.32988337963795e-217
"hpsvq.total.score","stuff, house, started, guy, leave",29.9668674513462,0.667808780722003,44.8734253223617,1.69414285403145e-308
"hpsvq.total.score","god, church, child, life, devil",31.5430275926207,0.781547845314213,40.359688510099,8.31876321228706e-264
"hpsvq.total.score","mental, illness, life, taking, people",32.1488762682189,0.690635699989631,46.549687872639,0
